Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,A1,A2,Fz,Cz,Pz,EKG
-5.02,18.03,9.28,3.95,-13.76,-13.76,-17.68,14.65,4.04,8.32,-19.18,18.80,13.30,-11.51,-12.73,-12.66,-7.83,0.99,-2.72,-8.35,4.47,106.30
-8.31,-5.35,-1.76,11.41,-12.01,0.57,3.70,-18.14,4.30,-13.18,-17.40,17.96,18.63,12.34,-7.82,-16.09,7.37,-2.39,-15.12,-0.19,-18.62,102.73
-9.65,6.50,-7.53,0.80,1.87,-12.61,18.78,11.01,17.58,15.79,3.92,16.87,-16.46,-12.16,-18.19,-6.99,-4.45,-9.15,13.15,-5.73,-8.76,83.75
-14.36,12.09,-17.02,19.48,10.89,-12.05,-19.78,12.62,8.27,9.16,10.85,-17.04,-5.66,-15.37,14.52,4.93,-6.76,-17.46,-7.56,-6.99,9.18,94.71
15.49,-1.11,-15.22,8.53,10.43,2.45,10.84,-0.25,0.91,-2.90,-18.98,-15.68,-18.74,5.46,-7.43,0.34,16.30,-10.03,-3.58,10.22,-10.85,90.61
-8.41,-13.55,17.19,12.32,5.34,14.86,12.15,-12.54,15.70,1.57,12.30,15.84,-7.28,-15.60,-10.88,-2.92,12.72,14.43,-19.72,0.43,-3.30,89.76
-15.21,-6.50,17.72,-7.07,0.75,8.12,-5.45,18.87,18.50,-9.93,-0.11,-7.96,-8.61,-18.52,4.38,0.11,-17.94,-8.85,16.33,-10.42,-14.20,118.92
19.43,-10.32,6.89,10.46,-10.49,9.13,-5.29,5.29,5.34,1.43,-16.39,13.41,-7.17,-12.54,-18.37,3.64,7.10,-19.34,0.48,-10.94,5.81,95.72
7.64,-4.53,17.47,-14.50,-6.36,-15.46,16.99,15.09,-9.68,6.40,12.69,2.21,1.19,-10.33,-16.28,15.89,16.02,5.32,-6.44,-6.03,9.04,115.68
15.48,11.20,5.68,-16.63,-13.53,15.94,4.26,-19.63,-15.94,6.54,-19.80,-13.57,1.95,7.68,6.08,-11.03,8.49,-10.51,-6.98,9.86,5.99,105.25
